photo_no,group,family,genus,species,sub.var,link,location,photographer
0,native,Sinopteridaceae,Cheilanthes,austrotenuifolia,,/photo/apii/id/p/143,Taken at. Warby Range VIC,"Photographer. Greig, D."
1,native,Sinopteridaceae,Cheilanthes,austrotenuifolia,,/photo/apii/id/ara/3,Taken at. Aranda ACT,"Photographer. Ormay, P."
2,native,Sinopteridaceae,Cheilanthes,austrotenuifolia,,/photo/apii/id/ara/4,Taken at. Aranda ACT,"Photographer. Ormay, P."
3,native,Sinopteridaceae,Cheilanthes,austrotenuifolia,,/photo/apii/id/foa/742,Taken at. ,Photographer. see Illustrator
4,native,Sinopteridaceae,Cheilanthes,austrotenuifolia,,/photo/apii/id/p/213,Taken at. Cocoparra National Park NSW,"Photographer. Fagg, M."
5,native,Sinopteridaceae,Cheilanthes,austrotenuifolia,,/photo/apii/id/p/406,Taken at. Maldon VIC,"Photographer. Hill, R."
6,native,Sinopteridaceae,Cheilanthes,austrotenuifolia,,/photo/apii/id/p/407,Taken at. Maldon VIC,"Photographer. Hill, R."
0,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/p/528,Taken at. Ben Boyd National Park NSW,"Photographer. Hill, R."
1,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/dig/16302,"Taken at. Koorawatha Nature Reserve, NSW","Photographer. Schmidt-Lebuhn, A.N."
2,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/dig/16303,"Taken at. Koorawatha Nature Reserve, NSW","Photographer. Schmidt-Lebuhn, A.N."
3,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/dig/16304,"Taken at. Koorawatha Nature Reserve, NSW","Photographer. Schmidt-Lebuhn, A.N."
4,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/dig/20734,"Taken at. Ben Boyd National Park, near Eden, NSW","Photographer. Fagg, M."
5,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/dig/20735,"Taken at. Ben Boyd National Park, near Eden, NSW","Photographer. Fagg, M."
6,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/dig/20736,"Taken at. Ben Boyd National Park, near Eden, NSW","Photographer. Fagg, M."
7,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/dig/20737,"Taken at. Ben Boyd National Park, near Eden, NSW","Photographer. Fagg, M."
8,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/dig/6175,"Taken at. Bungonia Gorge Cons Reserve, NSW","Photographer. Fagg, M."
9,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/dig/6176,"Taken at. Bungonia Gorge Cons Reserve, NSW","Photographer. Fagg, M."
10,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/dig/6177,"Taken at. Bungonia Gorge Cons Reserve, NSW","Photographer. Fagg, M."
11,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/foa/740,Taken at. ,Photographer. see Illustrator
12,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/p/527,Taken at. Unknown,"Photographer. Hill, R."
13,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/p/310,Taken at. Barrington Tops NSW,"Photographer. Greig, D."
0,native,Solanaceae,Solanum,americanum,,,,nan
0,native,Solanaceae,Solanum,prinophyllum,,,,nan
0,native,Solanaceae,Solanum,vescum,,/photo/apii/id/dig/60010,"Taken at. Australian National Herbarium, ACT","Photographer. Shaw, E.; Burrows, M."
1,native,Solanaceae,Solanum,vescum,,/photo/apii/id/nsb/1053,"Taken at. National Seed Bank, ANBG","Photographer. Clinton, B."
2,native,Solanaceae,Solanum,vescum,,/photo/apii/id/nsb/1054,"Taken at. National Seed Bank, ANBG","Photographer. Clinton, B."
3,native,Solanaceae,Solanum,vescum,,/photo/apii/id/wb/9,Taken at. Warrumbungles NSW,"Photographer. Streimann, H"
0,intro,Asteraceae,Sonchus,oleraceus,,/photo/apii/id/dig/21815,"Taken at. north of Balranald on Ivanhoe Road, NSW","Photographer. Fagg, M."
1,intro,Asteraceae,Sonchus,oleraceus,,/photo/apii/id/dig/21816,"Taken at. north of Balranald on Ivanhoe Road, NSW","Photographer. Fagg, M."
2,intro,Asteraceae,Sonchus,oleraceus,,/photo/apii/id/dig/21817,"Taken at. north of Balranald on Ivanhoe Road, NSW","Photographer. Fagg, M."
3,intro,Asteraceae,Sonchus,oleraceus,,/photo/apii/id/dig/4392,Taken at. southern edge of Lake George near Bungendore NSW,"Photographer. Fagg, M."
4,intro,Asteraceae,Sonchus,oleraceus,,/photo/apii/id/dig/4393,Taken at. southern edge of Lake George near Bungendore NSW,"Photographer. Fagg, M."
